,0,1,2,3,4
148,Google Pixel 4,HTC 10,OnePlus 5T,Sony Alpha a7R III,Lenovo ThinkPad W550S
149,LG G Pad 7.0 (V410),Google Pixel 4,RCA PRO12,FUJIFILM X100F,Lenovo ThinkCentre M710Q
150,HTC One,Nokia 8 Sirocco,Motorola Moto Z4,OLYMPUS STYLUS Tough TG-870,Acer Aspire F 15 F5-571
151,LG Aristo,Sony XPERIA XZ2 Compact,Samsung Galaxy NOTE10+,Ricoh GR III,ASUS ROG GL753VE DS74
152,HTC U12+,LG K7,Microsoft Lumia 435,Nikon Coolpix S1000PJ,HP Slate 2
153,Samsung Galaxy Tab 3 Lite,LG Tribute HD,Razer Phone,Samsung NX1,Lenovo Y50-70 80EJ
154,Apple Watch Series 1,Fast Cars,LG X charge,Sony a5100 ILCE-5100,Lenovo YOGA 300
155,Samsung Galaxy S8 Active,Samsung Galaxy Grand,ZTE Maven 2,FUJIFILM X70,Dell Latitude E5470
156,Xiaomi Redmi Note 7,LG Stylo 5,Samsung Galaxy Luna,Panasonic Lumix DMC-ZS100,Lenovo Yoga A12
157,Nokia 3310 3G,Nokia 3310,Xiaomi Redmi Note 5 Pro,Canon PowerShot ELPH 160,Dell Inspiron 7737
158,Google Pixel,HTC RE,Huawei Honor 5X,Sony Alpha a5000,Google Pixel Slate
159,Samsung Galaxy J5 Prime,LG Rebel 4,LG WM1355HW,Canon PowerShot G1 X Mark II,Dell Latitude E7250
160,ZTE Zmax Pro,LG K20 V,LG Tribute Dynasty,Sony Alpha A99 II,ASUS ROG GL753VE
161,Apple iPad,Samsung Gear 360,Doro 7050,Nikon COOLPIX A10,HP Spectre Pro X360 G2
162,Ideal,Verizon Ellipsis 8,LG X Style,Sony Cyber-shot rx100 v,ASUS ROG Zephyrus GX501VI XS74
163,Motorola Moto G Plus 4G (4TH Gen.),Samsung Galaxy Note 3,LG G6+,Sony Alpha A7R II,Lenovo ThinkPad Yoga 14
164,Samsung Galaxy Express Prime 3,LG G6,HP Stream 14-DS0150NR,Sony Alpha a7R,HP 240 G6
165,Sony XPERIA Xzs,LG LSXS26366S,Samsung Galaxy Note 10 (Unlocked),Sony Alpha A7 II,ASUS FX502VM AH51
166,Nokia 3,Emerson Quiet Kool EARC5MD1,HP Chromebox G2,Nikon COOLPIX A900,Lenovo ThinkPad T480
167,Amazon Fire 7,Huawei P10 Lite,Coolpad REVVL Plus,Canon Powershot ELPH 180,Lenovo Flex 10
